NJID,NJName,Rating,AsOfDate
8522,Conrad Science (DE),1381.585435,11/19/2019
6452,United Christian,1388.865081,11/19/2019
3426,Howell,1370.198267,11/19/2019
6338,Katzenbach,1378.572141,11/19/2019
6768,Jenkintown (PA),1371.016957,11/19/2019
3598,Lacey,1376.735409,11/19/2019
5700,St. Rose,1371.347281,11/19/2019
6247,Princeton Day,1364.761962,11/19/2019
4581,Spotswood,1367.11792,11/19/2019
2712,Brick Memorial,1364.155361,11/19/2019
7100,Rhode Island School for the Deaf (RI),1363.563217,11/19/2019
3573,Kearny,1368.715746,11/19/2019
8692,Al-Ghazaly,1358.501513,11/19/2019
4307,Piscataway Tech,1363.51712,11/19/2019
8673,Hillel,1363.732475,11/19/2019
6627,Pine Forge (PA),1367.645239,11/19/2019
4767,Wallington,1367.261551,11/19/2019
6400,Newark Collegiate,1359.509017,11/19/2019
6253,Newark Academy,1354.811103,11/19/2019
9321,City School (PA),1358.911048,11/19/2019
3300,Steinert,1353.822816,11/19/2019
3243,Gloucester,1362.511416,11/19/2019
3740,Lyndhurst,1353.286531,11/19/2019
6578,Germantown Friends (PA),1349.861482,11/19/2019
4270,Paulsboro,1346.245044,11/19/2019
6485,International Christian (PA),1350.594407,11/19/2019
2982,McNair,1347.599608,11/19/2019
4258,Pascack Valley,1346.799235,11/19/2019
4278,Pennsauken,1350.009132,11/19/2019
2958,Deptford,1345.488892,11/19/2019
4193,Oakcrest,1345.511018,11/19/2019
6332,Trinity Christian,1339.538285,11/19/2019
2760,Camden Tech,1337.591374,11/19/2019
4572,Southern,1338.40873,11/19/2019
7502,Kohelet (PA),1335.510178,11/19/2019
6256,Morristown-Beard,1333.391262,11/19/2019
3873,Elmwood Park,1328.969293,11/19/2019
2622,Barnegat,1327.560296,11/19/2019
6385,Pilgrim Academy,1331.172778,11/19/2019
2972,Dover,1328.552873,11/19/2019
3234,Glen Ridge,1321.34673,11/19/2019
4050,Demarest,1311.369776,11/19/2019
4551,South Hunterdon,1320.681049,11/19/2019
4239,Paramus,1322.674075,11/19/2019
9472,Eagle Academy,1320.337918,11/19/2019
4839,Weehawken,1321.314146,11/19/2019
2714,Bridgewater-Raritan,1314.677617,11/19/2019
2669,Bernards,1316.509655,11/19/2019
3713,Lodi,1311.313291,11/19/2019
4840,Weequahic,1309.682097,11/19/2019
4395,Ridgefield,1315.223269,11/19/2019
6946,Tottenville (NY),1314.4172,11/19/2019
6460,North Jersey Home Schoolers,1303.927064,11/19/2019
6349,Hoboken Charter,1310.058112,11/19/2019
4264,Passaic Valley,1311.163858,11/19/2019
2882,Collingswood,1313.373458,11/19/2019
6463,King's Christian,1311.117146,11/19/2019
2713,Bridgeton,1305.795489,11/19/2019
3396,Hillside,1300.570374,11/19/2019
2601,Audubon,1302.72119,11/19/2019
6311,Medford Tech,1291.845667,11/19/2019
2579,Johnson,1284.516289,11/19/2019
7967,Calvary Christian (Old Bridge),1293.692751,11/19/2019
3637,Lawrence,1286.849763,11/19/2019
4956,Woodrow Wilson,1288.919044,11/19/2019
4556,South Plainfield,1293.95372,11/19/2019
3699,Lindenwold,1292.348669,11/19/2019
4037,North Brunswick,1281.871851,11/19/2019
6315,Moorestown Friends,1281.599874,11/19/2019
6001,Eastern Christian,1279.893157,11/19/2019
7537,Atlantic Tech,1273.266828,11/19/2019
3371,High Point,1273.185976,11/19/2019
4409,Riverside,1269.132624,11/19/2019
8615,People's Prep,1268.719405,11/19/2019
4289,Perth Amboy,1260.159806,11/19/2019
3897,Middlesex,1260.363495,11/19/2019
3302,Hamilton West,1260.199877,11/19/2019
7047,Faith Christian (PA),1264.790089,11/19/2019
4308,Pitman,1263.560967,11/19/2019
6990,Koinonia,1258.041994,11/19/2019
4318,Point Pleasant Boro,1255.021603,11/19/2019
2494,Roselle,1258.170072,11/19/2019
4236,Palisades Park,1258.882317,11/19/2019
9040,Stem Civics,1253.399565,11/19/2019
4538,Somerset Tech,1258.421702,11/19/2019
6327,Golda Och,1252.774718,11/19/2019
4741,Vernon,1259.184351,11/19/2019
4396,Ridgefield Park,1242.369592,11/19/2019
3387,Hillsborough,1240.289066,11/19/2019
6316,Morris Tech,1240.566813,11/19/2019
6350,Life Center,1233.786051,11/19/2019
6252,Montclair Kimberley,1228.91771,11/19/2019
3915,Millburn,1222.305891,11/19/2019
4855,West Essex,1225.873125,11/19/2019
6673,Green Meadow Waldorf (NY),1222.384803,11/19/2019
6448,Cristo Rey (formerly Christ the King),1206.787572,11/19/2019
3903,Midland Park,1222.124769,11/19/2019
4414,Robbinsville,1215.599185,11/19/2019
6254,Sayreville,1213.482164,11/19/2019
